"","value","class","names","col"
"1",0,"TUNCL","Unclassified","white"
"2",11,"TWATR","Open Water","#476ba1"
"3",21,"TDVOS","Developed, Open Space","#decaca"
"4",22,"TDVLO","Developed, Low Intensity","#d99482"
"5",23,"TDVMI","Developed, Medium Intensity","#ee0000"
"6",24,"TDVHI","Developed, High Intensity","#ab0000"
"7",31,"TBARN","Barren Land","#b3aea3"
"8",41,"TDFOR","Deciduous Forest","#68ab63"
"9",42,"TEFOR","Evergreen Forest","#1c6330"
"10",43,"TMFOR","Mixed Forest","#b5ca8f"
"11",52,"TSHRB","Shrub/Scrub","#ccba7d"
"12",71,"THERB","Herbaceous","#e3e3c2"
"13",81,"TPAST","Hay/Pasture","#dcd93d"
"14",82,"TPLNT","Cultivated Crops","#ab7028"
"15",90,"TWDWT","Woody Wetlands","#bad9eb"
"16",95,"THWEM","Emergent Herbaceous Wetlands","#70a3ba"
